,groep_id,subgroep_id,referenties,voorwaarde,teeltwisseling,zaaidatum,oogstdatum,Bsi,alpha,p,D,Ri,Spi,default,opmerking
44,31,1031,ILVO2019,,,19000415,19001015,1000.0,2.23,0.03,10.0,6.1,20,1,
45,32,1032,Gabriels2003;ILVO2019,,,19000515,19001025,2019.0,4.46,0.01,30.0,7.6,59,1,
46,33,1033,Gabriels2003;ILVO2019;DeNeve2019,,voorteelt,19000315,19000715,3500.0,1.07,0.03,10.0,6.1,28,0,verloop gewasgroeicurves geinterpoleerd met cumulatieve stikstofopname curve geraporteerd in Coopman et al. (2013)
47,33,2033,Gabriels2003;ILVO2019;DeNeve2019,,hoofdteelt,19000615,19001101,3000.0,1.07,0.03,10.0,6.1,28,1,verloop gewasgroeicurves geinterpoleerd met cumulatieve stikstofopname curve geraporteerd in Coopman et al. (2013)
48,33,3033,Gabriels2003;ILVO2019;DeNeve2019,,nateelt,19000715,19000115,3000.0,1.07,0.03,10.0,6.1,28,0,verloop gewasgroeicurves geinterpoleerd met cumulatieve stikstofopname curve geraporteerd in Coopman et al. (2013)
49,34,1034,ILVO2019,,voorteelt,19000401,19000515,0.0,0.0,0.0,0.0,7.6,0,0,
50,34,2034,ILVO2019,,hoofdteelt,19000802,19001012,0.0,0.0,0.0,0.0,7.6,0,1,
51,34,2034,ILVO2019,,nateelt,19001001,19000405,0.0,0.0,0.0,0.0,7.6,0,0,
52,35,1036,ILVO2019;DeNeve2019,,voorteelt,19000415,19000701,5000.0,9.21,0.05,6.0,10.2,99,0,
53,35,1036,ILVO2019;DeNeve2019,,hoofdteelt,19000615,19001015,5000.0,9.21,0.05,6.0,10.2,99,1,
54,35,1036,ILVO2019;DeNeve2019,,nateelt,19000615,19001015,5000.0,9.21,0.05,6.0,10.2,99,1,
55,36,1036,ILVO2019;DeNeve2019,,,19000215,19001215,5000.0,9.21,0.05,6.0,10.2,99,1,
56,37,1037,ILVO2019,,,19000501,19001201,8000.0,5.76,0.05,6.0,10.2,99,1,
57,38,1037,ILVO2019,,,19000501,19001201,8000.0,5.76,0.05,6.0,10.2,99,1,
58,39,1039,ILVO2019,,,19000515,19001015,7000.0,6.58,0.05,6.0,10.2,99,1,
59,40,1040,ILVO2019,,,19000601,19001015,7000.0,6.58,0.05,6.0,10.2,99,1,
60,41,1041,ILVO2019,,,19000501,19001201,3000.0,15.35,0.05,6.0,10.2,80,1,verloop gewasgroeicurves geinterpoleerd met cumulatieve stikstofopname curve geraporteerd in Coopman et al. (2013)
61,42,1041,ILVO2019 ,,,19000301,19000701,3000.0,15.35,0.05,6.0,10.2,80,1,verloop gewasgroeicurves geinterpoleerd met cumulatieve stikstofopname curve geraporteerd in Coopman et al. (2013)
62,43,1043,ILVO2019,,,19000501,19000215,0.0,0.0,0.0,0.0,6.1,0,1,
63,44,1044,ILVO2019,,,19000501,19000215,0.0,0.0,0.0,0.0,6.1,0,1,
64,45,1045,ILVO2019,,,19000501,19000915,1500.0,0.0,0.0,0.0,7.6,0,1,verloop gewasgroeicurves geinterpoleerd met cumulatieve stikstofopname curve geraporteerd in Coopman et al. (2013)
65,46,1046,ILVO2019,,,19000615,19001115,0.0,0.0,0.0,0.0,7.6,0,1,
