,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
148,931,2016,931,2,Erwten (andere dan droog geoogst) - vers,52,1,1,1,1,0,0,0,1.0,1.0
149,931,2017,931,2,Erwten (andere dan droog geoogst) - vers,52,1,1,1,1,0,0,0,1.0,1.0
