,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
36,9822,2016,9822,2,Hop,15,1,1,1,0,0,0,0,1.0,1.0
37,9822,2017,9822,2,Hop,15,1,1,1,0,0,0,0,1.0,1.0
