,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute,meerjarig
104,9540,2016,9540,2,Witte kool - vers,40,1,1,1,1,0,0,0,1.0,1.0,0.0
105,9540,2017,9540,2,Witte kool - vers,40,1,1,1,1,0,0,0,1.0,1.0,0.0
