,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute,meerjarig
24,321,2016,321,3,Wintergerst,9,0,1,1,0,0,0,0,1.0,1.0,0.0
25,321,2017,321,3,Wintergerst,9,0,1,1,0,0,0,0,1.0,1.0,0.0
