,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
12,71,2016,71,2,Voederbieten,6,0,1,1,0,0,0,0,1.0,1.0
13,71,2017,71,2,Voederbieten,6,0,1,1,0,0,0,0,1.0,1.0
