,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute,meerjarig
86,8519,2016,8519,2,Spinazie - industrie,34,1,1,1,1,0,0,0,1.0,1.0,0.0
87,8519,2017,8519,2,Spinazie - industrie,34,1,1,1,1,0,0,0,1.0,1.0,0.0
