,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute,meerjarig
114,8543,2016,8543,2,Knolselder - industrie,41,1,1,1,1,0,0,0,1.0,1.0,0.0
115,8543,2017,8543,2,Knolselder - industrie,41,1,1,1,1,0,0,0,1.0,1.0,0.0
