,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute,meerjarig
6,901,2016,901,2,Aardappelen (niet-vroege),3,0,1,1,0,0,0,0,1.0,1.0,0.0
7,901,2017,901,2,Aardappelen (niet-vroege),3,0,1,1,0,0,0,0,1.0,1.0,0.0
