,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
76,9535,2016,9535,2,Wortel (niet-vroege) (consumptie) - vers,30,1,1,1,1,0,0,0,1.0,1.0
77,9535,2017,9535,2,Wortel (niet-vroege) (consumptie) - vers,30,1,1,1,1,0,0,0,1.0,1.0
