,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
80,9561,2016,9561,2,Witloofwortel,32,1,1,1,1,0,0,0,1.0,1.0
81,9561,2017,9561,2,Witloofwortel,32,1,1,1,1,0,0,0,1.0,1.0
