,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
28,322,2016,322,2,Zomergerst,12,1,1,1,0,0,0,0,1.0,1.0
29,322,2017,322,2,Zomergerst,12,1,1,1,0,0,0,0,1.0,1.0
