,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute,meerjarig
84,9538,2016,9538,2,Prei - vers,33,1,1,1,1,0,0,0,1.0,1.0,0.0
85,9538,2017,9538,2,Prei - vers,33,1,1,1,1,0,0,0,1.0,1.0,0.0
