,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
70,8564,2016,8564,2,Wortel (vroege) (consumptie) - industrie,27,1,1,1,1,0,0,0,1.0,1.0
71,8564,2017,8564,2,Wortel (vroege) (consumptie) - industrie,27,1,1,1,1,0,0,0,1.0,1.0
