,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
152,9711,2016,9711,2,Meerjarige fruitteelten (peer),53,1,1,1,0,0,1,0,1.0,1.0
153,9711,2017,9711,2,Meerjarige fruitteelten (peer),53,1,1,1,0,0,1,0,1.0,1.0
