,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute
44,721,2016,721,2,Eenjarige klaver,18,1,1,1,0,0,0,0,1.0,1.0
45,721,2017,721,2,Eenjarige klaver,18,1,1,1,0,0,0,0,1.0,1.0
