,GWSCOD,jaar,perceel_id,type,GWSNAM,groep_id,voorteelt,hoofdteelt,nateelt,groente,groenbedekker,meerjarige_teelt,onvolledig,teeltgegevens_beschikbaar,compute,meerjarig
102,8540,2016,8540,2,Witte kool - industrie,39,1,1,1,1,0,0,0,1.0,1.0,0.0
103,8540,2017,8540,2,Witte kool - industrie,39,1,1,1,1,0,0,0,1.0,1.0,0.0
